h_over_J,time,trotter_steps,dt,sim_mz,exact_mz,abs_error_mz,sim_mz2,exact_mz2,abs_error_mz2,sim_czz,exact_czz,abs_error_czz
2.0,2.5,2,1.25,-0.15813007734672013,0.025796456250039027,0.18392653359675915,0.13615433882890313,0.31723809800385694,0.1810837591749538,0.1815283157146829,0.5122876094196385,0.3307592937049556
2.0,2.5,4,0.625,0.6797962549251991,0.025796456250039027,0.6539997986751601,0.6147436664027046,0.31723809800385694,0.2975055683988477,0.708770568357589,0.5122876094196385,0.19648295893795054
2.0,2.5,8,0.3125,0.023113363219277344,0.025796456250039027,0.0026830930307616824,0.28523498992930896,0.31723809800385694,0.03200310807454798,0.4656827027658126,0.5122876094196385,0.046604906653825884
2.0,2.5,16,0.15625,0.02440807546721334,0.025796456250039027,0.0013883807828256878,0.3097042322864939,0.31723809800385694,0.007533865717363031,0.5014528807680215,0.5122876094196385,0.010834728651616943
2.0,2.5,32,0.078125,0.0254201604908202,0.025796456250039027,0.0003762957592188254,0.31542983928553525,0.31723809800385694,0.001808258718321687,0.5096469666954722,0.5122876094196385,0.002640642724166309
2.0,2.5,64,0.0390625,0.025700699825129167,0.025796456250039027,9.57564249098597e-05,0.3167911630990374,0.31723809800385694,0.00044693490481956255,0.5116318666323488,0.5122876094196385,0.0006557427872896371
2.0,2.5,128,0.01953125,0.025772413881782447,0.025796456250039027,2.4042368256579905e-05,0.3171266898866252,0.31723809800385694,0.00011140811723175936,0.5121239516092781,0.5122876094196385,0.00016365781036031812
2.0,2.5,256,0.009765625,0.025790439232757326,0.025796456250039027,6.017017281700898e-06,0.3172102663963984,0.31723809800385694,2.7831607458561614e-05,0.5122467123592933,0.5122876094196385,4.08970603451575e-05
2.0,2.5,512,0.0048828125,0.025794951594036025,0.025796456250039027,1.5046560030013145e-06,0.317231141379297,0.31723809800385694,6.9566245599617105e-06,0.5122773862417487,0.5122876094196385,1.022317788978988e-05
2.0,2.5,1024,0.00244140625,0.02579608006115948,0.025796456250039027,3.761888795472679e-07,0.3172363589277133,0.31723809800385694,1.7390761436475444e-06,0.5122850536935449,0.5122876094196385,2.5557260935338277e-06
0.5,5.0,1,5.0,0.28366218546321514,0.7317853231524527,0.44812313768923756,0.19540620602904762,0.753768316690922,0.5583621106618744,0.08046423546176798,0.8434739632679586,0.7630097278061907
0.5,5.0,2,2.5,0.7533563876889628,0.7317853231524527,0.021571064536510143,0.6510576220778836,0.753768316690922,0.10271069461303839,0.7417530121687328,0.8434739632679586,0.10172095109922585
0.5,5.0,4,1.25,0.19940987085175893,0.7317853231524527,0.5323754523006938,0.20581067308381945,0.753768316690922,0.5479576436071025,0.2728715156716885,0.8434739632679586,0.5706024475962701
0.5,5.0,8,0.625,0.644596058600831,0.7317853231524527,0.08718926455162168,0.6686090417929373,0.753768316690922,0.0851592748979847,0.7630601549035562,0.8434739632679586,0.08041380836440248
0.5,5.0,16,0.3125,0.7137317508771156,0.7317853231524527,0.018053572275337104,0.7351409782253262,0.753768316690922,0.018627338465595833,0.8269512057201985,0.8434739632679586,0.016522757547760114
0.5,5.0,32,0.15625,0.727469881092429,0.7317853231524527,0.004315442060023655,0.7492741016540249,0.753768316690922,0.004494215036897176,0.8395326792293637,0.8434739632679586,0.00394128403859495
0.5,5.0,64,0.078125,0.7307184621941738,0.7317853231524527,0.0010668609582789035,0.7526550826013431,0.753768316690922,0.0011132340895789739,0.8425002458196313,0.8434739632679586,0.0009737174483273048
0.5,5.0,128,0.0390625,0.7315193524148732,0.7317853231524527,0.00026597073757950174,0.7534906556521365,0.753768316690922,0.00027766103878557047,0.8432312559943557,0.8434739632679586,0.00024270727360298228
0.5,5.0,256,0.01953125,0.7317188769145374,0.7317853231524527,6.644623791529636e-05,0.7536989419374901,0.753768316690922,6.937475343193888e-05,0.8434133315324429,0.8434739632679586,6.0631735515737084e-05
0.5,5.0,512,0.009765625,0.7317687144954423,0.7317853231524527,1.660865701036407e-05,0.7537509755353601,0.753768316690922,1.7341155561956256e-05,0.8434588081513829,0.8434739632679586,1.5155116575793492e-05
0.5,5.0,1024,0.0048828125,0.7317811711696658,0.7317853231524527,4.151982786915198e-06,0.7537639815603849,0.753768316690922,4.335130537103105e-06,0.8434701746649663,0.8434739632679586,3.7886029923273057e-06
1.0,5.0,1,5.0,-0.8390715290764521,-0.0013764544026794723,0.8376950746737726,0.7410359020433586,0.5166354490674829,0.22440045297587563,0.7040410309066953,0.5684419818067634,0.13559904909993192
1.0,5.0,2,2.5,0.01078970828361471,-0.0013764544026794723,0.012166162686294182,0.179170884351252,0.5166354490674829,0.33746456471623093,0.2240310626955868,0.5684419818067634,0.3444109191111766
1.0,5.0,4,1.25,0.42425084036556987,-0.0013764544026794723,0.42562729476824934,0.3750256615500199,0.5166354490674829,0.14160978751746306,0.4462301615390828,0.5684419818067634,0.12221182026768063
1.0,5.0,8,0.625,0.0012584051938325097,-0.0013764544026794723,0.002634859596511982,0.3273879594694774,0.5166354490674829,0.18924748959800552,0.35468609080529023,0.5684419818067634,0.21375589100147319
1.0,5.0,16,0.3125,-0.0006146480164780366,-0.0013764544026794723,0.0007618063862014357,0.6842987735388351,0.5166354490674829,0.16766332447135213,0.7531076889845205,0.5684419818067634,0.1846657071777571
1.0,5.0,32,0.15625,-0.0012493266835763572,-0.0013764544026794723,0.00012712771910311504,0.5595048036986278,0.5166354490674829,0.04286935463114483,0.6138263393357597,0.5684419818067634,0.04538435752899628
1.0,5.0,64,0.078125,-0.0013468226184019938,-0.0013764544026794723,2.963178427747848e-05,0.5272071375079598,0.5166354490674829,0.010571688440476845,0.5795016095719093,0.5684419818067634,0.011059627765145907
1.0,5.0,128,0.0390625,-0.0013691357373177004,-0.0013764544026794723,7.318665361771837e-06,0.5192667439914517,0.5166354490674829,0.002631294923968741,0.5711860241570614,0.5684419818067634,0.002744042350298015
1.0,5.0,256,0.01953125,-0.001374629542730016,-0.0013764544026794723,1.8248599494563589e-06,0.5172925093302112,0.5166354490674829,0.0006570602627282707,0.5691266451203137,0.5684419818067634,0.0006846633135503266
1.0,5.0,512,0.009765625,-0.001375998475666912,-0.0013764544026794723,4.559270125603643e-07,0.5167996658494436,0.5166354490674829,0.0001642167819606577,0.5686130627634622,0.5684419818067634,0.0001710809566988214
1.0,5.0,1024,0.0048828125,-0.0013763404388160982,-0.0013764544026794723,1.1396386337403364e-07,0.5166765002419521,0.5166354490674829,4.10511744691755e-05,0.5684847467376759,0.5684419818067634,4.2764930912486676e-05
2.0,5.0,1,5.0,0.40808206181339984,0.02217302144752986,0.38590904036587,0.2707145980271393,0.7450764987574509,0.47436190073031154,0.16653096917387636,0.7960451240579688,0.6295141548840925
2.0,5.0,2,2.5,0.8088932139944084,0.02217302144752986,0.7867201925468785,0.7183639265270039,0.7450764987574509,0.026712572230446985,0.7906368434870125,0.7960451240579688,0.005408280570956325
2.0,5.0,4,1.25,0.2310480855069317,0.02217302144752986,0.20887506405940184,0.2197839376288216,0.7450764987574509,0.5252925611286292,0.28217388520145237,0.7960451240579688,0.5138712388565164
2.0,5.0,8,0.625,0.6262610664285871,0.02217302144752986,0.6040880449810573,0.6542580852033714,0.7450764987574509,0.09081841355407949,0.7512704096308012,0.7960451240579688,0.04477471442716763
2.0,5.0,16,0.3125,0.0062029530362662354,0.02217302144752986,0.015970068411263624,0.18051736531127363,0.7450764987574509,0.5645591334461773,0.07529544653819392,0.7960451240579688,0.7207496775197748
2.0,5.0,32,0.15625,0.017683000285135947,0.02217302144752986,0.004490021162393915,0.6251025161590972,0.7450764987574509,0.11997398259835368,0.6506694288942622,0.7960451240579688,0.14537569516370663
2.0,5.0,64,0.078125,0.021051867565185567,0.02217302144752986,0.0011211538823442946,0.7190938417233714,0.7450764987574509,0.025982657034079426,0.7648692325144424,0.7960451240579688,0.0311758915435264
2.0,5.0,128,0.0390625,0.021893273112330913,0.02217302144752986,0.00027974833519894826,0.7388485318720341,0.7450764987574509,0.006227966885416714,0.7885882281787047,0.7960451240579688,0.007456895879264125
2.0,5.0,256,0.01953125,0.022103124709816124,0.02217302144752986,6.989673771373717e-05,0.7435364168555993,0.7450764987574509,0.0015400819018515088,0.7942020857391174,0.7960451240579688,0.0018430383188513533
2.0,5.0,512,0.009765625,0.02215554988550672,0.02217302144752986,1.7471562023141374e-05,0.7446925376148751,0.7450764987574509,0.00038396114257577274,0.795585690061744,0.7960451240579688,0.00045943399622483394
2.0,5.0,1024,0.0048828125,0.022168653722692,0.02217302144752986,4.36772483786152e-06,0.7449805747239818,0.7450764987574509,9.592403346903033e-05,0.795930348436341,0.7960451240579688,0.00011477562162776067
